Time,COP X (cm),COP Y (cm)
3.354231,-0.3051011,-1.721226
3.370797,-0.3614319,-1.813212
3.387365,-0.3614319,-1.813212
3.403934,-0.3120765,-1.954179
3.420498,-0.296702,-2.121755
3.437064,-0.296702,-2.121755
3.453683,-0.217366,-2.734304
3.470198,-0.217366,-2.734304
3.486769,-0.134306,-2.880661
3.503332,-0.1486939,-3.67346
3.519897,-0.1486939,-3.67346
3.536465,-0.1084993,-4.114387
3.553031,-0.05863906,-4.265076
3.569832,-0.05863906,-4.265076
