Time,COP X (cm),COP Y (cm)
3.345239,-16.64811,-12.40834
3.361799,-17.52114,-11.39602
3.378763,-17.52114,-11.39602
3.394951,-16.62922,-11.5605
3.411924,-17.39245,-11.8262
3.428866,-16.994,-11.64379
3.444646,-16.994,-11.64379
3.461199,-16.74856,-11.15419
3.477909,-16.74856,-11.15419
3.49433,-17.02104,-11.72478
3.510897,-17.02104,-11.72478
3.527775,-18.77468,-11.91767
3.544032,-16.7605,-11.65142
3.560918,-17.51956,-11.81811
3.577758,-17.51956,-11.81811
3.593792,-16.92953,-11.99295
3.610297,-16.9997,-11.25602
3.626886,-17.31411,-12.17151
3.644015,-17.26413,-11.65524
3.660908,-16.17295,-10.96941
3.676565,-16.17295,-10.96941
3.69389,-17.45315,-11.90175
3.709711,-17.70315,-11.55066
3.726263,-16.46378,-12.06814
3.742843,-15.69124,-11.31518
3.759396,-15.69124,-11.31518
3.775965,-17.18003,-11.47179
3.792685,-17.21147,-11.99151
3.809097,-16.63827,-11.89941
3.8259,-16.85964,-11.63686
3.842232,-17.11387,-11.64781
3.858881,-17.11387,-11.64781
3.87601,-16.15975,-10.41305
3.891958,-16.15975,-10.41305
3.908887,-16.07442,-11.72928
3.925894,-17.03612,-11.47969
3.941802,-16.6062,-11.21143
3.958651,-16.6062,-11.21143
3.974765,-16.73043,-10.95811
3.991581,-17.41205,-11.64698
4.007898,-17.01276,-11.8155
4.024768,-17.01276,-11.8155
4.041031,-15.71889,-10.90403
4.057878,-15.71889,-10.90403
4.074164,-17.08086,-11.73099
4.090766,-17.21085,-11.90373
4.107855,-16.71886,-11.29764
4.123864,-16.5874,-10.82107
4.140898,-16.5874,-10.82107
4.15703,-16.5874,-10.82107
4.173909,-15.6728,-11.64255
4.190911,-15.6728,-11.64255
4.206698,-16.82705,-11.55245
4.223265,-13.36783,-12.03634
4.239976,-13.36783,-12.03634
4.256399,-1.647571,-4.224142
4.272964,0.821546,-4.140737
4.289531,1.894444,-3.354079
4.306098,2.323965,-3.86861
4.32269,2.323965,-3.86861
4.339617,2.323965,-3.86861
4.356575,1.50972,-3.719752
4.372755,1.50972,-3.719752
4.388931,1.688961,-4.011137
4.405781,1.997821,-4.326976
4.422064,2.457842,-4.615379
4.438758,2.457842,-4.615379
4.455198,2.888655,-5.152533
4.471837,3.254363,-5.294563
4.488905,3.554652,-5.417757
4.504899,3.722375,-5.713904
4.521465,3.644313,-5.804323
4.538032,3.644313,-5.804323
